title,abstract
Printer with an optical print head for the linear registration of graphic and text information,"A printer has an optical printing head for a line-by-line image forming of design and text information. The printing head has spaced light emitting elements arranged in a row and each having a light emitting surface. The printing head further has an optical device for reproducing the light, emitted by the light emitting elements, in one line on a light sensitive surface. The light emitting surface of each light emitting element has, parallel to the feed direction of the light sensitive surface, a dimension several times the length of image dots to be reproduced on the light sensitive surface. The optical device has an image reproducing first optical lens and a second optical lens situated between the first optical lens and the light sensitive surface for reducing the image of the light emitting surface of each light emitting element to a required light dot size on the light sensitive surface."
Optical printer for line-by-line image forming,"A printer has an optical printing head for a line-by-line image forming of design and text information. The printing head has spaced light emitting elements arranged in a row and each having a light emitting surface. The printing head further has an optical device for reproducing the light, emitted by the light emitting elements, in one line on a light sensitive surface. The light emitting surface of each light emitting element has, parallel to the feed direction of the light sensitive surface, a dimension several times the length of image dots to be reproduced on the light sensitive surface. The optical device has an image reproducing first optical lens and a second optical lens situated between the first optical lens and the light sensitive surface for reducing the image of the light emitting surface of each light emitting element to a required light dot size on the light sensitive surface."
Focusing device,"A focusing device for focusing a photographic camera or the like on the image of an object to be photographed is arranged to control and adjust the operating time of each performance of a focus detecting process according to a signal produced from reflection light receiving means during a series of processes. These processes include projecting a light on the object, receiving a reflection light from the object, computing an extent of deviation of a photo-taking lens from an in-focus position on the basis of a signal produced from a light receiving device; and driving the lens to shift its position."
Acoustic signal optical correlator using a light emitting diode array,"An optical correlator using a light emitting diode array, in which analog gnals from two spaced sensors are correlated in order to locate and track a target. One signal is clipped and digitized and clocked through a shift register, and the other signal is delayed. The shift register is coupled to an LED array, element for element. Each shift register element modulates its corresponding LED element. The delayed signal is also connected at its output to the LED array via a transistor, and modulates each LED element. Therefore, the LED elements emit light in proportion to the product of the two signals. The emitted light is focused onto a CCD imaging array where it is integrated over a period of time before being sent to an integrator and output display device. The output is the correlation function versus the time delay between the two signals. Successive outputs display the movement of targets. Circuit design mitigates inherent errors within the system."
System for correcting time base error of information reproducing apparatus,A light emitted from a laser diode is reflected by a video disc which is rotated by a spindle motor. The reflected light is modulated by video information recorded on the video disc and converted to an electrical signal by a photodiode array. A signal generated by a trapezoidal generator is sampled with a horizontal synchronizing signal separated from the video information signal. The sampled signal is supplied to the spindle motor for correcting a time base error. A zero crossing point of the trapezoidal waveform is detected and is utilized for controlling the start of a rise portion of the trapezoidal waveform for compensating a DC offset. The trapezoidal waveform is controlled so as to vary an average power supplied to the spindle motor in accordance with a detected rotational speed difference so as to compensate a rotational speed of the spindle motor.
Optical printer,"An optical printer with a print head having numerous light emitting elements for reproducing medium densities of a multi-tone document image faithfully. When image data are inputted to individual serial shift registers, the entry of next image data is inhibited and, in response to a clock signal having a predetermined frequency, light emitting elements associated one-to-one with the shift registers are each turned on for a particular period of time associated with a logical value of an internal state stored in the associated shift register. The frequency of the clock signal is variable to adjust the turn-on time of the light emitting elements as desired."
Optical recording and reproducing apparatus and recording medium having multilayer recording membranes,"An optical recording and reproducing apparatus stably set the gains (focus, tracking) corresponding to the respective layers at the insertion time of a recording medium having a multilayer record membrane. The optical recording and reproducing apparatus uses a recording medium having a multilayer membrane construction wherein the recording membranes are formed in a stage shape, is not superposed in the inner periphery or the outer periphery with respect to the laser transmission side, and has a circuit for detecting the number of the recording membranes, and a circuit for switching to a focus gain or a tracking gain in conformity with the recording medium, and a focus driving circuit for effecting a focus drawing-in operation. The driving circuits are driven so that they may be rotated or run into a condition of effecting capable of focus drawing-in operation, and thereafter the focus drawing-in operation is effected in the specific position of the recording medium."
Color image reproduction of scenes with preferential tone mapping,"A system and method of image reproduction in color with preferential tone mapping are provided in which the method includes the steps of capturing original scene parameters and creating a visual reproduction of the scene, the method additionally comprising: performing a transformation of said captured scene parameters, said transformation being such that, taken in conjunction with untransformed characteristics of the capturing and creating steps, it results in a reproduced tone mapping having instantaneous gamma values of viewed reproduction density relative to density of the original scene which are greater than a minimum value of A and less than A plus 0.35 times scene exposure density over a scene exposure density range of from 0.60 to 1.45 as measured relative to a zero density, 100% diffuse reflector in the original scene, the instantaneous gamma values within scene exposure density range further lying entirely within a range of values subtended by an angle of 14.degree. measured from a reference point at 0.0 scene exposure density and a viewed reproduction density gradient of A, wherein A is 1.0 in the case of direct view reflection media reproduction, 1.1 in the case of self-illuminated reproduction for viewing with ambient surround, and 1.3 in the case of a reproduction for viewing with dark surround."
COLOR IMAGE REPRODUCTION,"A system and method of image reproduction in color with preferential tone mapping are provided in which the method includes the steps of capturing original scene parameters and creating a visual reproduction of the scene, the method additionally comprising: performing a transformation of said captured scene parameters, said transformation being such that, taken in conjunction with untransformed characteristics of the capturing and creating steps, it results in a reproduced tone mapping having instantaneous gamma values of viewed reproduction density relative to density of the original scene which are greater than a minimum value of A and less than A plus 0.35 times scene exposure density over a scene exposure density range of from 0.60 to 1.45 as measured relative to a zero density, 100 % diffuse reflector in the original scene, the instantaneous gamma values within scene exposure density range further lying entirely within a range of values subtended by an angle of 14i? measured from a reference point at 0.0 scene exposure density and a viewed reproduction density gradient of A, wherein A is 1.0 in the case of direct view reflection media reproduction, 1.1 in the case of self-illuminated reproduction for viewing with ambient surround, and 1.3 in the case of a reproduction for viewing with dark surround."
Microcavity LED with photon recycling,"A microcavity LED with photon recycling including a substrate having at least one layer of material positioned thereon, and a first cladding layer, a second cladding layer and an active region sandwiched therebetween forming a mesa on the layer of material. The mesa has generally vertical sides and an upper surface with an electrically conductive and light reflective system positioned on the vertical sides of the mesa and partially covering the upper surface to form a first electrical contact for the LED, the electrically conductive and light reflective system defining a centrally located light emitting opening on the surface of the mesa, the mesa having a diametric dimension of the surface greater than one time larger than a diametric dimension of the opening."
